Index,Systemic.name,contrast,UniprotID,Gene,logFC,P.Value
16856,YMR250W,W296A,Q04792,GAD1,-3.049097385,8.19E-12
16925,YMR275C,W296A,P48524,BUL1,4.438370267,3.74E-19
17011,YMR291W,W296A,Q03533,TDA1,-1.893098269,2.43E-06
17153,YMR315W,W296A,Q04869,YMR315W,-1.689815794,5.91E-14
17172,YMR322C,W296A,Q04902,SNO4,-3.131208194,5.21E-11
17255,YNL015W,W296A,P0CT04,PBI2,-1.843865983,6.73E-13
17550,YNL113W,W296A,P28000,RPC19,2.803947438,0.017346759
17559,YNL115C,W296A,P53925,YNL115C,-2.981720304,3.19E-06
17680,YNL141W,W296A,P53909,AAH1,2.114621752,5.57E-16
17860,YNL200C,W296A,P40165,YNL200C,-1.51832677,5.15E-06
18156,YNL274C,W296A,P53839,GOR1,-3.494234566,2.46E-17
18269,YNL307C,W296A,P21965,MCK1,4.329979328,2.32E-21
18402,YNR001C,W296A,P00890,CIT1,-1.78784829,5.35E-13
18653,YNR065C,W296A,P53751,YNR065C,-3.150681955,2.86E-16
18665,YNR066C,W296A,P53752,YNR066C,-3.161932436,1.06E-07
18683,YNR073C,W296A,P0CX09,YNR073C,-3.522154422,2.42E-09
18703,YOL006C,W296A,P04786,TOP1,2.175441735,6.27E-05
19150,YOL126C,W296A,P22133,MDH2,-2.796703905,1.34E-08
19593,YOR120W,W296A,P14065,GCY1,-3.283618549,6.53E-12
19813,YOR173W,W296A,Q12123,DCS2,-2.472438871,8.45E-11
19918,YOR202W,W296A,P06633,HIS3,-1.931118892,1.87E-09
19990,YOR220W,W296A,Q12044,RCN2,-1.593965371,8.57E-13
20265,YOR285W,W296A,Q12305,RDL1,-1.571270224,8.23E-09
20366,YOR317W,W296A,P30624,FAA1,-1.692623425,5.63E-14
20431,YOR341W,W296A,P10964,RPA190,1.518596286,3.09E-06
20540,YOR374W,W296A,P46367,ALD4,-2.91156798,1.47E-13
20573,YOR391C,W296A,Q08914,HSP33,-3.131208194,5.21E-11
20650,YPL019C,W296A,Q02725,VTC3,3.918452836,4.83E-14
20822,YPL078C,W296A,P05626,ATP4,-1.539445045,0.00045717
21103,YPL143W,W296A,P05744,RPL33A,1.541611073,0.016709897
21174,YPL171C,W296A,P41816,OYE3,2.439044276,4.26E-07
21366,YPL214C,W296A,P41835,THI6,-1.734421686,8.50E-11
21556,YPL265W,W296A,P53388,DIP5,3.312594388,0.007803157
21588,YPL273W,W296A,Q08985,SAM4,4.23177378,1.12E-22
21599,YPL280W,W296A,Q08992,HSP32,-3.131208194,5.21E-11
21673,YPR020W,W296A,Q12233,ATP20,-1.659145499,5.10E-06
21831,YPR054W,W296A,P41808,SMK1,-2.748708046,0.000251619
21875,YPR070W,W296A,Q12321,MED1,2.063222639,0.016926319
21933,YPR086W,W296A,P29055,SUA7,1.687807962,0.001966322
22153,YPR160W,W296A,P06738,GPH1,-2.305203961,1.05E-10
22243,YPR175W,W296A,P24482,DPB2,1.5578384,0.004426537
22298,YPR184W,W296A,Q06625,GDB1,-1.91465657,1.79E-09
22337,YPR191W,W296A,P07257,QCR2,-1.522677823,4.33E-14
