"","contrast","Gene","logFC","P.Value"
"16565","W296A","ALD2",-3.45139669949076,2.63544612515003e-13
"16595","W296A","ADD37",-1.53506722742096,1.74453924453037e-05
"16651","W296A","YMR196W",-2.15973964812223,5.81134527173506e-10
"16803","W296A","TAF9",1.61843003495153,0.0428280865598487
"16856","W296A","GAD1",-3.04909738543413,8.19438640483781e-12
"16925","W296A","BUL1",4.4383702674816,3.73826872045601e-19
"17011","W296A","TDA1",-1.89309826918833,2.43382336821671e-06
"17153","W296A","YMR315W",-1.6898157942508,5.90647324602395e-14
"17172","W296A","SNO4",-3.13120819445995,5.21481290223125e-11
"17255","W296A","PBI2",-1.84386598340685,6.73217194004836e-13
"17550","W296A","RPC19",2.80394743775461,0.0173467594239064
"17559","W296A","YNL115C",-2.98172030373901,3.18863551240648e-06
"17680","W296A","AAH1",2.11462175232672,5.57422725292165e-16
"17860","W296A","YNL200C",-1.51832677004029,5.14863879878541e-06
"18156","W296A","GOR1",-3.49423456626545,2.46297097392361e-17
"18269","W296A","MCK1",4.32997932774719,2.32142673318962e-21
"18402","W296A","CIT1",-1.78784829031789,5.34816273749511e-13
"18653","W296A","YNR065C",-3.15068195541841,2.85727354980026e-16
"18665","W296A","YNR066C",-3.16193243641531,1.05656140465767e-07
"18683","W296A","YNR073C",-3.52215442196674,2.42072019407656e-09
"18703","W296A","TOP1",2.1754417349469,6.26611437598477e-05
"19150","W296A","MDH2",-2.79670390521258,1.33841162822601e-08
"19593","W296A","GCY1",-3.28361854866212,6.53051210365476e-12
"19813","W296A","DCS2",-2.4724388708025,8.44935937703013e-11
"19918","W296A","HIS3",-1.93111889193784,1.86751415892078e-09
"19990","W296A","RCN2",-1.59396537117025,8.56508869544938e-13
"20265","W296A","RDL1",-1.5712702243212,8.22502544252513e-09
"20366","W296A","FAA1",-1.69262342494394,5.62960825450481e-14
"20431","W296A","RPA190",1.51859628622417,3.09412919846603e-06
"20540","W296A","ALD4",-2.91156798011044,1.4707978149845e-13
"20573","W296A","HSP33",-3.13120819445995,5.21481290223125e-11
"20650","W296A","VTC3",3.91845283622355,4.82673807701692e-14
"20822","W296A","ATP4",-1.53944504510168,0.000457170429078461
"21103","W296A","RPL33A",1.5416110729744,0.0167098971818015
"21174","W296A","OYE3",2.43904427614136,4.25616364207486e-07
"21366","W296A","THI6",-1.73442168625741,8.49565491227567e-11
"21556","W296A","DIP5",3.31259438842127,0.00780315652722586
"21588","W296A","SAM4",4.2317737801643,1.11646275013458e-22
"21599","W296A","HSP32",-3.13120819445995,5.21481290223125e-11
"21673","W296A","ATP20",-1.65914549949662,5.1010362657185e-06
"21831","W296A","SMK1",-2.74870804620463,0.000251618528315231
"21875","W296A","MED1",2.06322263856196,0.0169263185989275
"21933","W296A","SUA7",1.68780796200709,0.00196632160853362
"22153","W296A","GPH1",-2.30520396084819,1.04999366319254e-10
"22243","W296A","DPB2",1.55783840000509,0.00442653696247205
"22298","W296A","GDB1",-1.91465656955325,1.78663583929485e-09
"22337","W296A","QCR2",-1.52267782330768,4.32768532477591e-14
